"Date","Standardized_score","Policy","Prices","Finance","Growth","Global","Other"
"2015/01/22",-2.05611206538544,-0.187565876221387,-0.537251934001792,-0.423558661416625,-0.345439482167583,-0.0629800092100044,-0.110321927835667
"2015/03/05",-0.432806530986,-0.0441833828008785,-0.07306949766955,-0.0899601822412181,-0.11426556440627,-0.0107700699261562,-0.0254178112013024
"2015/04/15",-0.0910579974282234,-0.0119260948901082,-0.0097478714313682,-0.0284663553475141,-0.0173528077167284,-0.0027309760134723,-0.00188893954396559
"2015/06/03",0.0798162693506649,0.0105651239002775,0.00934684272441546,0.0186412201774231,0.0130793350605827,0.00436495223011448,0.00511185712878951
"2015/07/16",-0.261932264207112,-0.0307227425416562,-0.042997916865324,-0.0621970895098998,-0.0506649178024954,-0.0146407061620068,-0.0196833559679888
"2015/09/03",-1.11630359810155,-0.0411022863972028,-0.229073779675131,-0.237455779678478,-0.260349909962607,-0.0477244539931166,-0.0468920251901193
"2015/10/22",-0.432806530986,-0.0459037229833636,-0.0939008575093751,-0.0597776673220802,-0.106089304834491,-0.0362418235557579,-0.0243075346292399
"2015/12/03",-0.689117931154332,-0.127883791738443,-0.190281969669356,-0.109076566264065,-0.11433120907028,-0.040756890266371,-0.0263321111684073
"2016/01/21",-1.71436353182766,-0.221138971009475,-0.452585783693039,-0.231410408510249,-0.324390836021281,-0.141976275927757,-0.108600401385062
"2016/03/10",-1.54348926504877,-0.283460706258957,-0.297894359980657,-0.267143953885623,-0.241496329874298,-0.0844656135902093,-0.0910539314502457
"2016/04/21",-1.03086646471211,-0.108664735782278,-0.198684236353025,-0.17886676618716,-0.257605486116652,-0.0627363335995261,-0.0334077095045591
"2016/06/02",0.336127669518997,0.0287652250788222,0.0793196540268773,0.0474636349142992,0.076888305421359,0.0283960197219154,0.0208516162787034
"2016/07/21",-0.432806530986,-0.0231544630433108,-0.0505157139895414,-0.121096810467321,-0.106436362200609,-0.0402505551282696,-0.0399001014942766
"2016/09/08",-0.518243664375444,-0.0347890649063644,-0.115165258750099,-0.0981800745806042,-0.137396016319604,-0.0217511027018891,-0.0163921353695396
"2016/10/20",-0.0910579974282234,-0.00743837734281424,-0.0255257575804472,-5911189380711.37,8866784071067.02,-2955594690355.68,-0.0037208383762498
"2016/12/08",0.165253402740109,0.0143158084993451,0.0474493984987557,0.0256188919036762,0.0371218894640585,0.00757640862864994,0.0116654259369792
"2017/01/19",0.763313336466218,0.0648252895693532,0.191915675051691,0.232888658471174,0.130395802414675,0.0356845525076799,0.0162667199001302
"2017/03/09",0.677876203076774,0.103577719204358,0.204217981385213,0.0493309994396208,0.15459598363002,0.0136180487225245,0.0395561035155751
"2017/04/27",0.250690536129553,0.0155139221338277,0.0760147073838211,0.028184737302557,0.0786020076793995,0.011586537384139,0.0134022631560257
"2017/06/08",0.934187603245106,0.076732146314366,0.212747056472411,0.147372604602079,0.248195136604987,0.0354754786042445,0.0422003673931699
"2017/07/20",0.763313336466218,0.0370263931867941,0.190412816543554,0.128351840547959,0.212030091818611,0.0252072620102988,0.0791430414376613
"2017/09/07",0.59243906968733,0.0931952228854299,0.116493217135346,0.104833021704502,0.13322841397467,0.0315181409317251,0.0402554752479852
"2017/10/26",1.87399607052899,0.254579140482087,0.435126384505109,0.345690658361754,0.527368195936652,0.0835011854555435,0.0874995073128873
"2017/12/14",1.01962473663455,0.120805878660216,0.234082802864392,0.178972798831038,0.256222328069616,0.0627412871336659,0.0558200779045154
"2018/01/25",2.13030747069732,0.196288493234984,0.387213167216327,0.340540421178386,0.596840355787052,0.168244020067605,0.112109127495497
"2018/03/08",0.677876203076774,0.065137173153537,0.128194393719112,0.100161134276885,0.158823206848334,0.0721746899885495,0.0468199137769773
"2018/06/14",1.10506187002399,0.10310535737618,0.302684100307763,0.160316271700019,0.203682662469866,0.0709409779474965,0.0801555218853383
"2018/07/26",0.336127669518997,0.0203197027018459,0.111855801995986,0.0572940508399851,0.0567882727527988,0.0264240562187716,0.0310479373451283
"2018/09/13",0.848750469855662,0.0939906354514148,0.192751461717898,0.145817357454296,0.180203933113015,0.104879285962472,0.0276016412961191
"2018/10/25",1.19049900341344,0.139637477092103,0.299320792255276,0.170441235703626,0.252394468597905,0.130288529195623,0.0626578422849178
"2018/12/13",-0.603680797764888,-0.087733556429857,-0.149813502651936,-0.0927843696207394,-0.11217763795581,-0.0200125395893828,-0.0690779022318031
"2019/01/24",-0.85999219793322,-0.0631951974136226,-0.177499404081122,-0.128138942999619,-0.242582820003614,-0.0501160954506539,-0.0481114516326277
"2019/03/07",-0.945429331322664,-0.10459061299838,-0.201578115822815,-0.177805001028327,-0.233646454278305,-0.0572728437600529,-0.0329105146979409
"2019/04/10",-0.432806530986,-0.0536442071231165,-0.0793023589017903,-0.0737428208766317,-0.116961744815544,-0.0316674035233217,-0.0139289946917075
"2019/06/06",-1.45805213165933,-0.227403837903039,-0.356695970204304,-0.164873762375593,-0.249324500363588,-0.117958491729105,-0.0726167140081313
"2019/07/25",-0.518243664375444,-0.106270591257949,-0.0732769927942378,-0.0747319235157633,-0.109803262256892,-0.026370777073676,-0.0209765377964905
"2019/10/24",-0.518243664375444,-0.0689262993269821,-0.10838606551692,-0.094248920379545,-0.124918756714507,-0.0247109821787867,-0.0254254671336425
"2019/12/12",-0.432806530986,-0.059185873726162,-0.0951389554087212,-0.0687059628306397,-0.0704195600249089,-0.0203195739918613,-0.0408185572351525
"2020/01/23",-0.945429331322664,-0.0758911495583167,-0.176681851301147,-0.139295396407176,-0.198717731949187,-0.0750854671158085,-0.111393607495212
