"Date","Standardized_sentiment_score","Standardized_uncertainty_score"
"1999-03-04",0.0818294188836352,-0.692633171032776
"1999-03-18",0.415162752216968,-0.692633171032776
"1999-04-08",1.08182941888364,-0.692633171032776
"1999-10-21",1.08182941888364,-0.692633171032776
"2000-03-16",0.269329418883635,-0.255133171032776
"2000-04-27",0.510400847455064,-0.406918885318491
"2000-06-08",-0.168170581116365,-0.442633171032776
"2000-08-31",0.304051641105857,-0.470410948810554
"2001-01-04",0.0818294188836352,0.307366828967224
"2001-05-10",0.0818294188836352,0.307366828967224
"2001-09-13",0.0818294188836352,-0.692633171032776
"2001-09-17",0.0818294188836352,-0.442633171032776
"2002-01-03",0.0818294188836352,0.307366828967224
"2008-10-08",-0.105670581116365,-0.505133171032776
"2009-05-07",0.0818294188836352,0.307366828967224
"2013-05-02",0.0818294188836352,0.307366828967224
"2014-06-05",0.0818294188836352,-0.692633171032776
"2016-06-02",0.0818294188836352,-0.692633171032776
"2016-12-08",0.415162752216968,-0.692633171032776
"2017-01-19",0.0818294188836352,-0.692633171032776
"2017-03-09",0.0818294188836352,-0.692633171032776
"2017-04-27",0.0818294188836352,-0.692633171032776
"2017-06-08",0.0818294188836352,-0.692633171032776
"2017-07-20",0.0818294188836352,-0.692633171032776
"2017-09-07",0.0818294188836352,-0.692633171032776
"2017-10-26",0.0818294188836352,-0.692633171032776
"2017-12-14",0.0818294188836352,-0.692633171032776
"2018-01-25",0.0818294188836352,-0.692633171032776
"2018-06-14",0.581829418883635,-0.192633171032776
"2018-07-26",0.0818294188836352,0.307366828967224
"2018-09-13",0.0818294188836352,0.307366828967224
"2018-10-25",0.0818294188836352,0.307366828967224
"2018-12-13",1.08182941888364,-0.692633171032776
"2019-03-07",1.08182941888364,-0.692633171032776
"2019-07-25",-0.584837247783031,-0.692633171032776
"2019-09-12",0.0818294188836352,-0.692633171032776
"2020-03-12",-0.0999887629345467,-0.692633171032776
"2020-04-30",-0.00150391444969818,-0.52596650436611
"2020-06-04",-0.203884866830651,-0.549776028175633
"2020-07-16",-0.293170581116365,-0.567633171032776
"2020-09-10",-0.293170581116365,-0.567633171032776
"2020-10-29",-0.203884866830651,-0.406918885318491
"2020-12-10",-0.148939811885596,-0.538787017186622
"2021-01-21",-0.251503914449698,-0.692633171032776
"2021-03-11",-0.251503914449698,-0.692633171032776
"2021-04-22",-0.418170581116365,-0.692633171032776
"2021-06-10",-0.418170581116365,-0.692633171032776
"2021-07-22",-0.0134086763544601,-0.549776028175633
"2021-09-09",-0.148939811885596,-0.615710094109699
"2021-10-28",-0.148939811885596,-0.615710094109699
"2021-12-16",-0.0610277239735077,-0.549776028175633
"2022-02-03",-0.10335576630155,-0.544485022884628
"2022-03-10",-0.00512710285549528,-0.453502736250168
"2022-04-14",-0.145443308389092,-0.510814989214595
"2022-07-01",-0.173489730052535,-0.458590617841287
"2022-07-27",0.167543704597921,-0.492633171032776
"2022-09-14",-0.240751226277655,-0.434568654903744
"2022-11-23",-0.203884866830651,-0.478347456747062
"2022-12-21",-0.305267355309913,-0.466826719419873
"2023-02-08",-0.236352399298183,-0.55626953466914
"2023-03-22",0.158752495806712,-0.538787017186622
"2023-05-10",-0.0720167349625187,-0.538787017186622
"2023-06-21",-0.140392803338587,-0.581522059921665
"2023-08-02",0.0818294188836352,-0.601724080123685
"2023-09-20",-0.0134086763544601,-0.549776028175633
"2023-10-26",0.0291978399362667,-0.587370013138039
"2023-12-14",-0.00907967202545576,-0.601724080123685
"2024-01-25",-0.0515039144496982,-0.559299837699443
"2024-03-07",0.0318294188836351,-0.442633171032776
"2024-03-13",-0.00512710285549528,-0.562198388424081
"2024-04-11",0.0291978399362667,-0.587370013138039
"2024-06-12",0.241829418883635,-0.572633171032776
"2024-07-18",0.134460997831004,-0.534738434190671
