"Date","Uncertainty"
2020-12-16,"0.91239999999999999"
2021-01-27,"1.3866000000000001"
2021-03-17,"1.3866000000000001"
2021-04-28,"1.5388999999999999"
2021-06-16,"1.5388999999999999"
2021-07-28,"2.2738"
2021-09-22,"2.2738"
2021-11-03,"1.2492000000000001"
2021-12-15,"1.2492000000000001"
2022-01-26,"1.5425"
2022-03-16,"1.5425"
2022-05-04,"2.0747"
2022-06-15,"2.0747"
2022-07-27,"2.7"
2022-09-21,"2.7"
2022-11-02,"1.4144000000000001"
2022-12-14,"1.4144000000000001"
2023-02-01,"1.0900000000000001"
2023-03-22,"1.0900000000000001"
2023-05-03,"0.6875"
2023-06-14,"0.6875"
2023-07-26,"0.61339999999999995"
2023-09-20,"0.61339999999999995"
2023-11-01,"0.66459999999999997"
2023-12-13,"0.66459999999999997"
2024-01-31,"0.5"
2024-03-20,"0.5"
2024-05-01,"0.6"
2024-06-12,"0.6"
2024-07-31,"0.82189999999999996"
2024-09-18,"0.82189999999999996"
2024-11-07,"0.82189999999999996"
