"Date","Standardized_score","Policy","Prices","Finance","Growth","Global","Other"
"2015-02-19",-1.97199197746082,-0.219696075920323,-0.623761098752982,-0.496513131579931,-0.451870888952921,-0.059757332650328,-0.120393449604337
"2015-04-02",-0.43630052513372,-0.0631221824556887,-0.0828163033818635,-0.114377394609708,-0.133314049346414,-0.0108570153823784,-0.0318135799576671
"2015-05-21",-0.0950357579499192,-0.0152014691127947,-0.0111619178800241,-0.0371000889536038,-0.0246625233158627,-0.00446476715200963,-0.00244499153562432
"2015-07-02",0.0755966256419812,0.0112320567814313,0.0130877879018417,0.0253942153319317,0.0164574049362711,0.00410214247669665,0.00532301821380875
"2015-08-13",-0.26566814154182,-0.0352090308067472,-0.058014880306572,-0.0742857203005991,-0.0585483504703106,-0.0172044127805696,-0.0224057468770209
"2015-10-08",-1.11883005950132,-0.0699268787188326,-0.275469522225704,-0.299837979961055,-0.328444430346032,-0.0635698897443933,-0.0815813585053047
"2015-11-19",-0.43630052513372,-0.0554274559901812,-0.11746552599754,-0.07551355242699,-0.117719780382816,-0.0442402630380345,-0.0259339472981582
"2016-01-14",-0.692249100521571,-0.149581463931797,-0.213356506693415,-0.117114169434973,-0.133347816683385,-0.0458020761651625,-0.0330470676128388
"2016-02-18",-1.63072721027702,-0.238439663670362,-0.515229762756237,-0.286794560498618,-0.340151688033244,-0.133392818836566,-0.116718716481995
"2016-04-07",-1.54541101848107,-0.357055863274655,-0.403808819047029,-0.304565599613766,-0.263916162871728,-0.120849676800653,-0.0952148968732414
"2016-05-19",-1.03351386770537,-0.128657590527109,-0.257315181054218,-0.216910317913473,-0.312074403468649,-0.0786831545372402,-0.0398732202046825
"2016-07-07",0.331545201029832,0.0347774686394928,0.093512749008414,0.0564167824596217,0.0881029205533818,0.0324589707301933,0.0262763096387279
"2016-08-18",-0.43630052513372,-0.0325445613153358,-0.0691571927950885,-0.129669736490791,-0.114922982144779,-0.0452572805791388,-0.0447487718085867
"2016-10-06",-0.52161671692967,-0.0519726801288621,-0.145523504360814,-0.122529530728044,-0.152138209104487,-0.0217340298720696,-0.0277187627353931
"2016-11-17",-0.0950357579499192,-0.010416832327844,-0.0298235336509506,-6169412671569.44,9254119007354.11,-3084706335784.72,-0.00513706799729293
"2017-01-12",0.160912817437931,0.0168076744241675,0.051708856288559,0.0308599923853567,0.0405955852212133,0.00789868852720439,0.0130420205914305
"2017-02-16",0.758126160009582,0.0701968666675539,0.223010045643844,0.246229009233881,0.147413420001863,0.0453579753851887,0.0259188430772507
"2017-04-06",0.672809968213632,0.119481770217249,0.241283574807648,0.0630276004705874,0.180189336314686,0.0232003437315046,0.045627342671959
"2017-05-18",0.246229009233882,0.0174153570956737,0.0870767854783685,0.0337961385222975,0.0824211949676438,0.0113803323595491,0.0141392008103489
"2017-07-06",0.928758543601483,0.0911123887710315,0.262952313399407,0.179285668226869,0.280782909911588,0.0470257490431131,0.067599514249475
"2017-08-17",0.758126160009582,0.0480900922394138,0.223477487465511,0.138612618807722,0.232435445823833,0.031117118507856,0.0843933971652458
"2017-10-05",0.587493776417682,0.0971624322536936,0.122771135328311,0.14009466976114,0.151392626999941,0.0361534631641651,0.0399194489104323
"2017-11-23",1.86723665335693,0.27309923841615,0.453048349000435,0.400122140005057,0.548315525192116,0.0867989827524199,0.105852417990756
"2018-01-11",1.01407473539743,0.147742180837381,0.274788958911549,0.181084774178113,0.279387937303374,0.0724339096712452,0.0586369744957699
"2018-02-22",2.12318522874479,0.212893911825358,0.458872688326278,0.45743421594908,0.671766600151636,0.201386132807771,0.120831679684663
"2018-04-12",1.69660426976503,0.197937164805921,0.417081882983904,0.245065061188283,0.541970808397164,0.169660426976503,0.124888925413259
"2018-05-24",-0.43630052513372,-0.0495796051288318,-0.101142394462817,-0.0773441840009776,-0.101935668144878,-0.0690148103393339,-0.0372838630568815
"2018-07-12",1.09939092719338,0.147721778330894,0.341890692733136,0.197435838346099,0.235928724815014,0.0859343037405681,0.0904795892276725
"2018-08-23",0.331545201029832,0.0256552834130227,0.117093344808155,0.0598623279637196,0.0572310168444352,0.0374961834498024,0.0342070445506969
"2018-10-11",0.843442351805533,0.110858954099101,0.202174731753928,0.182860130472744,0.205831934363383,0.114287581545465,0.0274290195709116
"2018-11-22",1.18470711898933,0.165235466595881,0.320251968276503,0.193467522209223,0.299640835650811,0.14375831999432,0.0623530062625965
"2019-01-10",-0.52161671692967,-0.0817459033994259,-0.145585561292311,-0.0914775585660242,-0.112627689128098,-0.0227071953887294,-0.0674728091550817
"2019-02-21",-0.862881484113471,-0.0754267031567719,-0.20516063258642,-0.155881853190662,-0.273547510115226,-0.0864892862864318,-0.0663754987779593
"2019-04-04",-0.948197675909421,-0.116848602485807,-0.231781654111192,-0.220288348948653,-0.261472692447749,-0.0747064835564998,-0.0430998943595191
"2019-05-23",-0.43630052513372,-0.0594955261545982,-0.088226271690793,-0.0803443857472351,-0.144162236451526,-0.0366126314797527,-0.0274594736098145
"2019-07-11",-1.46009482668512,-0.327230848152284,-0.388068132597498,-0.180668299261543,-0.342901057782112,-0.127205231112719,-0.0940212577789662
"2019-08-22",-0.52161671692967,-0.132726899982104,-0.106513337235639,-0.0829543124888152,-0.138367793231344,-0.0338453594954366,-0.0272090144963314
"2019-10-10",-1.37477863488917,-0.341377616079221,-0.35811181294585,-0.243804375887649,-0.259894949797869,-0.116495755109991,-0.0550941250685923
"2019-11-21",-0.52161671692967,-0.0713865696611066,-0.13676535870717,-0.0968312875601149,-0.145246931340172,-0.0438214586038476,-0.027565111057259
