"Date","Standardized_score","Global","Finance","Policy","Growth","Other","Prices"
"1994/02/03",0.974727149701734,0.0604957055793274,0.110340223903024,0.0892863136361924,0.444397106429117,0.0597992116381432,0.0908101652396432
"1994/03/22",0.837812786622854,0.0607602966875133,0.0487466148372907,0.102372383933871,0.333105076654565,0.0553594947576764,0.0959464895791576
"1994/05/17",0.221698152767894,0.0187013119189691,0.00378144224307877,0.0309304680877787,0.0888977807917853,0.0125678032522596,0.0310615798985554
"1994/07/05",0.495526878925654,0.0309704299328534,0.0401468536166618,0.01963754668335,0.199692755104668,0.0318159718294328,0.0872343497229837
"1994/08/16",1.38547023893837,0.0746420474199292,0.0557874921141152,0.101266425902796,0.589683120658257,0.137407018620201,0.193831993225029
"1994/09/27",1.79621332817501,0.110024463121831,0.0767612533408126,0.134843935035361,0.884417573908396,0.0498948146715282,0.340692029410973
"1994/11/15",1.72775614663557,0.119035147578526,0.107932818443624,0.21645924512838,0.679802012768851,0.132552720244528,0.280001297289935
"1994/12/20",2.07004205433277,0.0862517522638656,0.158363873009065,0.213734795443094,0.958798067208932,0.134969209950907,0.314313662588113
"1995/01/31",0.769355605083414,0.0825458823421011,0.0427419780601897,0.0588815753987013,0.333260742531119,0.0161811156852956,0.11570301098207
"1995/02/01",-0.0521305733898664,-0.00369067692456766,-0.007116509196314,-0.00430129377084901,-0.0196540581432953,-0.00299277179626974,-0.00545819179451463
"1995/05/23",-0.257502118008186,-0.0253446966543491,-0.0172997993937428,-0.0192619694573053,-0.111729007552552,-0.01626566309728,-0.0351597701353909
"1995/07/05",-0.873616751863147,-0.0588011275292502,-0.0373340492249208,-0.0585529409520164,-0.375248967073223,-0.0633242911853464,-0.145952798688675
"1995/08/22",-0.120587754929306,-0.00950800097964696,-0.00426527146750518,-0.0119662191020858,-0.0460952373926976,-0.00652302183097125,-0.0168431083818088
"1995/09/26",0.427069697386214,0.0321676960906783,0.0179320395111379,0.0331452519072991,0.178006951351156,0.0245380315597838,0.0514667863141218
"1995/12/19",0.495526878925654,0.00427178343901426,0.0142392781300475,0.0320383757926069,0.264332781286882,0.0384460509511283,0.0738500743017465
"1996/01/30",-0.462873662626506,-0.0473014869632408,-0.0440270731563104,-0.030686641627216,-0.179333856545886,-0.0261732621990547,-0.0603788474840267
"1996/03/26",1.31701305739893,0.0823133160874334,0.058305265561932,0.1440043323645,0.554876369768963,0.0542145781214524,0.16264036121778
"1996/05/21",1.86467050971445,0.131845389575769,0.12303544418937,0.172654676825412,0.665505299763408,0.0653340992987072,0.32959448698816
"1996/07/02",0.769355605083414,0.0311136457938145,0.0272749492348374,0.0858655809244881,0.334450303866877,0.00844040391215181,0.137956545398104
"1996/08/20",0.153240971228454,0.00526426208785689,0.00978133858905023,0.00810780785638857,0.0539664246965883,0.00855867126541895,0.0333277816714748
"1996/09/24",0.427069697386214,0.00180961736180599,0.0267672568100469,0.0305372929804761,0.173421663839741,0.0334779211934108,0.0922904854521055
"1996/11/13",-0.394416481087067,-0.018578122099802,-0.0110584060117869,-8.57240776107512e-05,-0.180387462034752,-0.0165876090176804,-0.097682586437451
"1996/12/17",0.632441242004534,0.0542688854525342,0.0527435765418861,0.0250471779011696,0.244417137041842,0.0327520486972741,0.104238321339272
"1997/02/04",1.31701305739893,0.131298265020821,0.207100923338627,0.0835844445091225,0.448105986287117,0.0874288329064264,0.236722201680987
"1997/03/25",1.24855587585949,0.0420246957131627,0.0765623886140256,0.0941044304008655,0.469448302779351,0.0775946541240794,0.241465994859619
"1997/05/20",1.04318433124117,0.0445805269761185,0.0728148607276603,0.067133028858155,0.460112141007067,0.0658655432872653,0.190020544061328
"1997/07/01",1.04318433124117,0.0353775555812224,0.0672778300583076,0.0625221123513831,0.411620866296361,0.0334121358267101,0.242479301074453
"1997/08/19",0.906269968162294,0.0725608307842359,0.0784841639094797,0.011600613159538,0.380574153296911,0.0730791224326948,0.165581088949316
"1997/09/30",0.427069697386214,0.0275528837023364,0.0351107927734634,0.0290835994635773,0.173736238900843,0.0281747369803405,0.0783056781609802
"1997/11/12",0.769355605083414,0.0464491904429612,0.109742510170726,0.0706551065892931,0.298399766040758,0.0345424965547655,0.0996585917015646
"1997/12/16",2.07004205433277,0.0805016354462746,0.243745977508757,0.0996686915049114,0.782210159615781,0.0703994694294871,0.494510046312829
"1998/02/03",0.290155334307334,0.0221947177361953,0.0546747924720908,0.0216184583457197,0.0898242869703308,0.0080672732634626,0.0353116709949223
"1998/03/31",0.700898423543974,0.0643682225703649,0.0777451577135889,0.0324076120579962,0.283619515193885,0.0257340445379052,0.109743500519625
"1998/05/19",0.632441242004534,0.0582189127814251,0.0609970784439773,0.044707455830147,0.214531586677378,0.02229536309023,0.0993194224362417
"1998/06/30",0.0163266081495735,0.00154420628044635,0.000843316536651526,0.000967002962027083,0.00671956088298156,0.000494745701502229,0.00238450963935869
"1998/08/18",-0.668245207244827,-0.0395284029370245,-0.0282143481872437,-0.0273716257204802,-0.25421277874528,0.00293451285153737,-0.174612095113408
"1998/09/29",-0.394416481087067,-0.037728226469899,-0.061699403568101,-0.00560276459791267,-0.126617644797416,-0.0414763363047907,-0.0492954461028956
"1998/11/17",-0.805159570323707,-0.0571563892513742,-0.109930035611536,-0.0302360231222643,-0.27610415009854,-0.0521862684469069,-0.160263804485869
"1998/12/22",-0.189044936468746,-0.0131083208538415,-0.00974458435405909,18724568092083.6,-28086852138125.5,-0.0127236429994429,9362284046041.77
