"Date","Standardized_score","Policy","Growth","Prices","Global","Other","Finance"
"1994/02/04",-0.811078172779991,-0.811078172779991,0.405539086389995,0,0,0,0
"1994/03/22",-0.134511150975383,0,0,0,0,0,0
"1994/05/17",0.277312253601335,0.138656126800668,0.00729769088424567,-0.00729769088424567,0,0,0
"1994/08/16",1.68927821215008,1.12618547476672,0.563092737383361,0,0,0,0
"1994/11/15",1.71869416961985,0.57289805653995,0.57289805653995,0,0.57289805653995,0,0
"1995/02/01",1.71869416961985,0.57289805653995,0.57289805653995,0,0.57289805653995,0,0
"1995/07/06",-5.72354307023084,-4.29265730267313,0,-1.43088576755771,0,0,0
"1995/12/19",-3.81150583469608,-2.85862937602206,0,-0.95287645867402,0,0,0
"1996/01/31",-1.3993973221753,-1.3993973221753,0,0,0,0,0
"1997/03/25",-1.34056540723577,0,-0.893710271490514,0,0,-0.446855135745257,0
"1998/09/29",-2.63486753590546,0,0,-0.658716883976364,0,0,-1.97615065192909
"1998/11/17",-1.19348561988694,0,-0.0213122432122668,0,0,0,-0.575430566731205
"1999/05/18",0.218480338661804,0.0647349151590531,0.00404593219744082,0,0,0,0.00404593219744082
"1999/06/30",1.74811012708961,0.582703375696538,1.16540675139308,0,0,0,0
"1999/08/24",2.54234097877328,0.847446992924428,0.423723496462214,0.423723496462214,0,0.423723496462214,0.423723496462214
"1999/10/05",0.306728211071101,0,0.306728211071101,0,0,0,0
"1999/11/16",1.74811012708961,0.437027531772403,0.874055063544807,0,0,0.437027531772403,0
"1999/12/21",1.36570267998266,0,1.36570267998266,0,0,0,0
"2000/02/02",1.83635799949891,0,1.83635799949891,0,0,0,0
"2000/03/21",1.77752608455938,0,1.77752608455938,0,0,0,0
"2000/05/16",0.600887785768757,0,0.600887785768757,0,0,0,0
"2000/06/28",0.865631402996647,0,0.432815701498323,0.144271900499441,0,0,0
"2000/08/22",1.39511863745243,0,0.852572500665372,-0.155013181939159,0,0.232519772908738,0
"2000/10/03",0.953879275405944,0,0.476939637702972,0,0,0,0
"2000/11/15",1.07154310528501,0,0.357181035095002,0.357181035095002,0,0,0.357181035095002
"2000/12/19",-0.634582427961397,0,-0.211527475987132,0.211527475987132,0,-0.211527475987132,-0.211527475987132
"2001/01/31",-0.28159093832421,-0.0938636461080701,-0.0938636461080701,-0.0469318230540351,0,0,0
"2001/03/20",-0.899326045189287,0,-0.539595627113572,0,-0.179865209037857,0,-0.179865209037857
"2001/05/15",-1.81122072675202,0,-1.47161684048602,-0.226402590844002,0,0,-0.113201295422001
"2001/06/27",-1.4876451945846,0,-0.4958817315282,-0.4958817315282,0,0,0
"2001/08/21",-1.60530902446366,0,-0.535103008154554,-0.535103008154554,0,0,0
"2001/10/02",1.2480388501036,0,0.936029137577699,0,0,0.3120097125259,0
"2001/11/06",0.453807998419929,0,0.302538665613286,0,0,0.151269332806643,0
"2001/12/11",-1.69355689687296,0,-1.27016767265472,-0.423389224218239,0,0,0
"2002/01/30",-1.07582179000788,-0.53791089500394,-0.26895544750197,0,0,0,0
"2002/03/19",0.424392040950163,0.141464013650054,0.282928027300109,0,0,0,0
"2002/05/07",0.453807998419929,0.151269332806643,0.302538665613286,0,0,0,0
