"Date","Standardized_sentiment_score","Standardized_uncertainty_score"
"1994-02-04",-0.419740006438721,-2.00932530312129
"1994-05-17",0.580259993561279,-2.00932530312129
"1994-08-16",0.0802599935612794,-2.00932530312129
"1994-11-15",-0.419740006438721,-2.00932530312129
"1995-02-01",0.580259993561279,-2.00932530312129
"1995-07-06",-1.41974000643872,-2.00932530312129
"1995-12-19",-0.753073339772054,-1.67599196978796
"1996-01-31",0.580259993561279,-2.00932530312129
"1997-03-25",-0.669740006438721,-1.88432530312129
"1998-11-17",-1.41974000643872,-2.00932530312129
"1999-05-18",-0.419740006438721,-1.70163299542899
"1999-06-30",-0.419740006438721,-1.80932530312129
"1999-08-24",-0.586406673105387,-1.84265863645463
"1999-10-05",-0.237921824620539,-1.73659803039402
"1999-11-16",-0.753073339772054,-1.67599196978796
"1999-12-21",-0.419740006438721,-1.67599196978796
"2000-02-02",-0.669740006438721,-1.50932530312129
"2000-03-21",-0.669740006438721,-1.50932530312129
"2000-05-16",-0.619740006438721,-1.60932530312129
"2000-06-28",-0.319740006438721,-1.40932530312129
"2000-08-22",-0.419740006438721,-1.56488085867685
"2000-10-03",-0.237921824620539,-1.64568893948493
"2000-11-15",-0.419740006438721,-1.46387075766675
"2000-12-19",-0.919740006438721,-1.63432530312129
"2001-01-31",-0.491168577867292,-1.72361101740701
"2001-03-20",-0.596210594674015,-1.36226647959188
"2001-05-15",-0.53738706526225,-1.53873706782718
"2001-06-27",-0.601558188256902,-1.73659803039402
"2001-08-21",-0.641962228660943,-1.67599196978796
"2001-10-02",-0.294740006438721,-1.63432530312129
"2001-11-06",-0.342816929515644,-1.70163299542899
"2001-12-11",-0.169740006438721,-1.59265863645463
"2002-01-30",-0.30862889532761,-1.67599196978796
"2002-03-19",-0.519740006438721,-1.80932530312129
"2002-05-07",-0.419740006438721,-1.72361101740701
"2002-06-26",-0.419740006438721,-1.58075387454987
"2002-08-13",-0.544740006438721,-1.75932530312129
"2002-09-24",-0.519740006438721,-1.50932530312129
"2002-11-06",-0.419740006438721,-1.50932530312129
"2002-12-10",-0.586406673105387,-1.50932530312129
"2003-01-29",-0.30862889532761,-1.45376974756574
"2003-03-18",-0.219740006438721,-1.50932530312129
"2003-05-06",-0.00307333977205393,-1.59265863645463
"2003-06-25",-0.253073339772054,-1.59265863645463
"2003-08-12",-0.419740006438721,-1.25932530312129
"2003-09-16",-0.419740006438721,-1.25932530312129
"2003-10-28",-0.319740006438721,-1.30932530312129
"2003-12-09",-0.32883091552963,-1.28205257584857
"2004-01-28",-0.32883091552963,-1.28205257584857
"2004-03-16",-0.669740006438721,-1.42599196978796
"2004-05-04",-0.219740006438721,-1.20932530312129
"2004-06-30",-0.0864066731053873,-1.50932530312129
"2004-08-10",-0.153073339772054,-1.54265863645463
"2004-09-21",0.0417984550997409,-1.62470991850591
"2004-11-10",-0.00307333977205393,-1.59265863645463
"2004-12-14",-0.00307333977205393,-1.59265863645463
"2005-02-02",-0.00307333977205393,-1.59265863645463
"2005-03-22",0.0348054481067339,-1.64568893948493
"2005-05-03",-0.205454292153006,-1.50932530312129
"2005-06-30",-0.0197400064387206,-1.60932530312129
"2005-08-09",-0.0625971492958635,-1.65218244597844
"2005-09-20",-0.357240006438721,-1.69682530312129
"2005-11-01",-0.319740006438721,-1.70932530312129
"2005-12-13",-0.169740006438721,-1.50932530312129
"2006-01-31",-0.134025720724435,-1.29503958883558
"2006-03-28",-0.169740006438721,-1.42599196978796
"2006-05-10",-0.237921824620539,-1.46387075766675
"2006-06-29",-0.237921824620539,-1.55477984857584
"2006-08-08",-0.519740006438721,-1.60932530312129
"2006-09-20",-0.530851117549832,-1.45376974756574
"2006-10-25",-0.619740006438721,-1.50932530312129
"2006-12-12",-0.619740006438721,-1.50932530312129
"2007-01-31",-0.237921824620539,-1.28205257584857
"2007-03-21",-0.705454292153006,-1.43789673169272
"2007-05-09",-0.753073339772054,-1.45376974756574
"2007-06-28",-0.419740006438721,-1.60932530312129
"2007-08-07",-0.601558188256902,-1.55477984857584
"2007-09-18",-0.641962228660943,-1.78710308089907
"2007-10-31",-0.732240006438721,-1.57182530312129
"2007-12-11",-0.692467279165993,-1.73659803039402
"2008-01-30",-0.848311435010149,-1.58075387454987
"2008-03-18",-0.919740006438721,-1.75932530312129
"2008-04-30",-0.753073339772054,-1.78710308089907
"2008-06-25",-0.819740006438721,-1.60932530312129
"2008-08-05",-0.919740006438721,-1.75932530312129
"2008-09-16",-0.919740006438721,-1.70932530312129
"2008-10-29",-0.419740006438721,-1.84265863645463
"2008-12-16",-0.753073339772054,-1.89821419201018
"2009-01-28",-0.294740006438721,-1.71765863645463
"2009-03-18",-0.372120958819673,-1.77123006502606
"2009-04-29",-0.342816929515644,-1.77855607235206
"2009-06-24",-0.209213690649247,-1.79879898733182
"2009-08-12",-0.169740006438721,-1.80932530312129
"2009-09-23",-0.219740006438721,-1.80932530312129
"2009-11-04",-0.169740006438721,-1.71765863645463
"2009-12-16",-0.112047698746413,-1.74009453389052
"2010-01-27",-0.197517784216498,-1.75006604386203
"2010-03-16",-0.271591858290572,-1.78710308089907
"2010-04-28",-0.348311435010149,-1.79503958883558
"2010-06-23",-0.299740006438721,-1.72932530312129
"2010-08-10",-0.283376370075084,-1.78205257584857
"2010-09-21",-0.336406673105387,-1.80099196978796
"2010-11-03",-0.419740006438721,-1.78351885150839
"2010-12-14",-0.419740006438721,-1.84803498054065
"2011-01-26",-0.304355391054105,-1.89394068773668
"2011-03-15",-0.101558188256902,-1.78205257584857
