"Date","Standardized_score","None","Global","Finance","Policy","Growth","Other","Prices"
"1994-03-25",0.400867423756957,0.085208534518387,0.0244651777139914,0.0366332146508975,0.0394412231747988,0.16192849154498,0.0158152204219733,0.0373755617319289
"1994-05-20",0.639743789662792,0.116638370491006,0.0321050060189891,0.0429992103728651,0.0727364100382554,0.244545816131773,0.0416144835554131,0.0891044930544897
"1994-07-08",0.28142924080404,0.0503217847795303,0.0200355254214797,0.0146172803407207,0.0234391240921939,0.123603438558116,0.0114932471410038,0.0379188404709953
"1994-08-19",0.0425528748982053,0.00832039453316864,0.00211971955964058,0.00252385300839449,0.00198897050269079,0.0192557702053331,0.00190180446472426,0.00644236262425343
"1994-09-30",0.838807427917654,0.120691716247144,0.0331902219679647,0.0462651578947387,0.0701520600686527,0.428958474828392,0.0462651578947387,0.0932846390160221
"1994-11-18",1.15730924912543,0.236185561046007,0.0492053252179181,0.0557660352469738,0.065432148023116,0.53076144135061,0.0360839051598066,0.183874833081002
"1994-12-22",1.51562379798419,0.225295429430082,0.107186007334918,0.0955798791521559,0.174774636163942,0.62698693940258,0.106161937201145,0.179638969299364
"1995-02-03",2.15262744039974,0.436153272237857,0.0797269422370275,0.0855892174015149,0.232732324030147,0.908418159488955,0.155936519375363,0.25407100562888
"1995-03-31",0.44068015140793,0.10782599449343,0.0317841117308531,0.0265937300083433,0.0288540575326621,0.173007143028045,0.014203786541707,0.05841132807289
"1995-05-26",-0.0370725804037395,-0.00677670824584485,-0.00277712161447367,-0.00425869606430054,-0.00264092306639542,-0.0149884841202216,-0.00259109432929362,-0.00303955296320982
"1995-07-07",-0.156510763356657,-0.0194289223477229,-0.0126827687547636,-0.00980440988843425,-0.0105239996050166,-0.0822970772531325,-0.00543290236019659,-0.0163406831473904
"1995-08-25",-0.275948946309574,-0.0563161114917498,-0.0150176297311333,-0.0151349549634078,-0.0244036483130916,-0.115823469301365,-0.0151349549634078,-0.0341181775454184
"1995-09-29",0.28142924080404,0.052265430435036,0.020772158249822,0.007705800641063,0.023787471544151,0.111834619738558,0.0209396756550625,0.0441240845403477
"1995-11-17",0.560118334360847,0.0800169049086924,0.0560118334360847,0.0226714563907962,0.0348073536352812,0.263227039683559,0.0298062970784879,0.0735774492279452
"1995-12-22",-0.315761673960547,-0.0412919112102253,-0.0161929063569511,-0.010930211790942,-0.020038721616727,-0.176502679290767,-0.0133591477444847,-0.0374460959504494
"1996-02-02",0.201803785502095,0.0257944688235761,0.0041726346626373,0.00771305195214774,0.00809238237602386,0.110871474404202,0.015931877802797,0.0292278954807112
"1996-03-29",-0.395387129262491,-0.0741350867367171,-0.037282834655599,-0.0373764395630949,-0.0254137323851246,-0.153858386450937,-0.0105773545470316,-0.0567432949239873
"1996-05-24",1.07768379382349,0.170160599024761,0.0608166585403314,0.0429452940395826,0.079948471922745,0.519620051466355,0.0630224440832449,0.141170274746469
"1996-07-05",1.87393834684294,0.246570835110913,0.107943232259666,0.117179854019377,0.131660998303668,0.870590739080499,-0.00821902783703043,0.408211715905844
"1996-08-23",0.599931062011819,0.0984961445094032,0.0283549506921009,0.0205200301061257,0.0430547540772164,0.282877942299354,0.0124612546462654,0.114165985681354
"1996-09-27",0.241616513153068,0.0253122061398452,0.0118890665202303,0.0134231396196149,0.0144586389616994,0.116359444588319,0.00897432763139965,0.0511996896919595
"1996-11-15",0.28142924080404,0.0317401399403053,0.0119907195330042,0.0172807428563884,0.0180566129438181,0.131933181685202,0.00835823685094705,0.0620696069943747
"1996-12-20",-0.395387129262491,-0.0569357466137988,-0.0213509049801745,-0.0226688620777162,-0.0105436567803331,-0.220889609547979,0.00184513993655829,-0.0648434891990486
"1997-02-06",1.15730924912543,0.199208969111755,0.0861657842586559,0.0709879580406174,0.0237153534656851,0.533595452977915,0.0973910515657469,0.146244679705058
"1997-03-27",1.23693470442738,0.244021132165945,0.103077892035615,0.15723289130498,0.0799379570888442,0.446879267105642,0.0382159531696667,0.167569611556685
"1997-05-22",1.19712197677641,0.205755339758445,0.0707005631745738,0.056115092661394,0.0625322948163947,0.522703383418719,0.0964402241843006,0.182875078762579
"1997-07-03",0.838807427917654,0.106415867720896,0.0417317128317241,0.0344286630861724,0.0709439118139309,0.408866456468817,0.0283775647255724,0.148043251270541
"1997-08-21",1.23693470442738,0.167404696839796,0.0496013916562357,0.0573516091025226,0.0737377831318147,0.593290217252466,0.00387510872314342,0.2916738977214
"1997-10-02",0.639743789662792,0.0913919699518274,0.0424703860364374,0.039039987164296,0.0228479924879569,0.280806307675517,0.0355711883047799,0.127615958041978
"1997-11-13",1.03787106617252,0.189524281648894,0.0669351629632999,0.0992746237208493,0.0475314865087703,0.375889825270307,0.0451248289640224,0.213590857096373
"1997-12-18",1.07768379382349,0.190179493027674,0.062185675497938,0.144596789143264,0.0772792860556899,0.434295422859992,0.0297344127987713,0.139412714440159
"1998-02-05",1.47581107033321,0.245968511722202,0.109623003372488,0.153600177756682,0.0523821830519505,0.636036830113404,0.0362771019272825,0.241923262389205
"1998-04-02",0.28142924080404,0.0542514199140318,0.016671009244416,0.0376651785132314,0.0148949210924686,0.0883361661754964,0.0100308614945215,0.0595796843698742
"1998-05-21",0.28142924080404,0.0553631293384997,0.0208380667371297,0.0275662248164613,0.0133409763058746,0.102668946103628,0.00941942131106418,0.0522324761913821
"1998-07-02",0.719369244964737,0.0749342963504934,0.0570333255556533,0.0860911804737891,0.0611963420195696,0.263685462824459,0.0187335740876234,0.15769506365315
