"Date","Standardized_score","Prices","Policy","Finance","None","Growth","Global","Other"
"1999-07-29",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"1999-08-26",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"1999-09-09",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"1999-09-23",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"1999-10-07",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"1999-10-21",0.981211563024751,0,0.245302890756188,0.245302890756188,0.490605781512376,0,0,0
"1999-11-04",2.24192227476651,0,1.86826856230542,0.373653712461084,0,0,0,0
"1999-11-18",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"1999-12-02",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"1999-12-15",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-01-05",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-01-20",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-02-03",2.25768115866328,0,1.88140096555273,0.376280193110546,0,0,0,0
"2000-02-17",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-03-02",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-03-16",2.44678776542454,0.730638013286495,0.679663268173484,0.713646431582158,0,0.271865307269394,-0.0509747451130113,0.101949490226023
"2000-03-30",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-04-13",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-04-27",2.33647557814714,0.413750883630222,0.803163479988079,0.511104032719687,0,0.608457181809151,0,0
"2000-05-11",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-05-25",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2000-06-08",0.965452679127979,0,0.689609056519985,0.0689609056519985,0.137921811303997,0,0.0689609056519985,0
"2000-06-21",0.319338439360329,0,0.239503829520247,0.0798346098400823,0,0,0,0
"2000-07-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2000-07-20",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2000-08-03",-0.846818969000795,0,-0.635114226750596,-0.211704742250199,0,0,0,0
