"Date","Standardized_score","None","Policy","Growth","Global","Prices","Other","Finance"
"1999-05-18",0.0393096445049334,0,0.0174709531133037,0.00436773827832593,0,0.0131032148349778,0,0.00436773827832593
"1999-06-30",2.37430252809797,0,0.791434176032658,1.31905696005443,0,0.263811392010886,0,0
"1999-08-24",1.38841664391425,0,0.462805547971415,0.231402773985708,0,0.154268515990472,0.154268515990472,0.385671289976179
"1999-10-05",0.817640605702614,0,0,0.545093737135076,0,0.272546868567538,0,0
"1999-11-16",0.592789439134395,0.197596479711465,0.0987982398557325,0.197596479711465,0,0.0987982398557325,-0.0987982398557325,0.0987982398557325
"1999-12-21",1.61326781048246,0.806633905241232,0,0.806633905241232,0,0,0,0
"2000-02-02",1.69974902839332,0.849874514196659,0,0.849874514196659,0,0,0,0
"2000-03-21",1.52678659257161,1.01785772838107,0,0.508928864190537,0,0,0,0
"2000-05-16",0.696566900627419,0.34828345031371,0,0.34828345031371,0,0,0,0
"2000-06-28",1.83811897705068,0,0,1.37858923278801,0,0.459529744262671,0,0
"2000-08-22",1.42300913107859,0,0,0.948672754052391,0,0.237168188513098,0.237168188513098,0
"2000-10-03",1.26734293883905,0.25346858776781,0,0.591426704791557,0,0.549181940163589,-0.126734293883905,0
"2000-11-15",1.33652791316773,0,0,0.668263956583867,0,0.445509304389245,0,0.222754652194622
"2000-12-19",-0.617947611617552,0,0,-0.308973805808776,0,-0.102991268602925,-0.137321691470567,-0.0686608457352836
"2001-01-31",-0.462281419378016,-0.115570354844504,-0.0481543145185434,-0.173355532266756,0,-0.0770469032296694,-0.0481543145185434,0
"2001-03-20",-0.894687508932283,-0.255625002552081,0,-0.521901046877165,-0.0639062506380202,-0.0426041670920135,0.0213020835460067,-0.0319531253190101
"2001-05-15",-1.25790862415787,-0.251581724831573,0,-0.691849743286827,0,-0.167721149887716,-0.0838605749438578,-0.0628954312078934
"2001-06-27",-2.07083207251989,-1.03541603625994,0,-0.46018490500442,0,-0.46018490500442,-0.115046226251105,0
"2001-08-21",-1.50005603430826,-0.750028017154128,0,-0.333345785401835,0,-0.333345785401835,-0.0833364463504587,0
"2001-10-02",0.402530759730518,0.134176919910172,0,0.156539739895201,0,0.0223628199850288,0.089451279940115,0
"2001-11-06",-0.168245278481115,-0.0672981113924459,0,-0.0616899354430754,0,-0.011216351898741,-0.0280408797468525,0
"2001-12-11",-1.22331613699353,-0.407772045664509,0,-0.577677064691387,0,-0.169905019026879,-0.0679620076107514,0
"2002-01-30",-0.756317560274918,0,-0.189079390068729,-0.441185243493702,0,-0.0630264633562431,-0.0630264633562431,0
"2002-03-19",0.610085682716566,0.152521420679141,0.0762607103395707,0.381303551697854,0,0.0762607103395707,-0.0762607103395707,0
"2002-05-07",0.73115938779176,0,0.121859897965293,0.609299489826467,0,0.121859897965293,-0.121859897965293,0
"2002-06-26",0.696566900627419,0,0.0870708625784274,0.609496038048992,0,0.0870708625784274,-0.0870708625784274,0
"2002-08-13",-0.998464970425307,0,-0.332821656808436,-0.443762209077914,0,-0.110940552269479,0.0554702761347393,-0.166410828404218
"2002-09-24",-0.790910047439259,-0.197727511859815,-0.197727511859815,-0.263636682479753,0,-0.0659091706199383,-0.0659091706199383,0
"2002-11-06",-0.911983752514454,-0.455991876257227,-0.0569989845321534,-0.626988829853687,0.113997969064307,0,0.113997969064307,0
"2002-12-10",-1.17142740624701,0,-0.146428425780877,-1.02499898046614,0,0,0,0
"2003-01-29",0.333345785401835,0,-0.333345785401835,1.0000373562055,0,0,-0.333345785401835,0
"2003-03-18",-0.237430252809797,0,0.0197858544008165,-0.227537325609389,0,-0.0296787816012247,0,0
"2003-05-06",-0.617947611617552,0,-0.102991268602925,-0.205982537205851,0,-0.137321691470567,-0.137321691470567,-0.0343304228676418
"2003-06-25",-0.946576239678795,-0.420700550968353,-0.0788813533065662,-0.236644059919699,0,-0.157762706613132,0,-0.0525875688710442
