"Date","final_score"
"1994-03-25",0.027
"1994-05-20",0.033
"1994-07-08",0.024
"1994-08-19",0.018
"1994-09-30",0.038
"1994-11-18",0.046
"1994-12-22",0.055
"1995-02-03",0.071
"1995-03-31",0.028
"1995-05-26",0.016
"1995-07-07",0.013
"1995-08-25",0.01
"1995-09-29",0.024
"1995-11-17",0.031
"1995-12-22",0.009
"1996-02-02",0.022
"1996-03-29",0.007
"1996-05-24",0.044
"1996-07-05",0.064
"1996-08-23",0.032
"1996-09-27",0.023
"1996-11-15",0.024
"1996-12-20",0.007
"1997-02-06",0.046
"1997-03-27",0.048
"1997-05-22",0.047
"1997-07-03",0.038
"1997-08-21",0.048
"1997-10-02",0.033
"1997-11-13",0.043
"1997-12-18",0.044
"1998-02-05",0.054
"1998-04-02",0.024
"1998-05-21",0.024
"1998-07-02",0.035
"1998-08-20",0.024
"1998-10-01",0.012
"1998-11-19",0.011
"1998-12-23",-0.009
"1999-02-04",0.013
"1999-04-01",0.007
"1999-05-20",0.052
"1999-07-01",0.058
"1999-08-26",0.052
"1999-10-07",0.024
"1999-11-18",0.057
"1999-12-23",0.065
"2000-02-03",0.058
"2000-03-23",0.073
"2000-05-18",0.06
"2000-06-29",0.064
"2000-08-24",0.063
"2000-10-05",0.062
"2000-11-16",0.019
"2000-12-21",0.006
"2001-02-01",0.002
"2001-03-22",-0.008
"2001-05-17",0.002
"2001-06-28",0.001
"2001-08-23",-0.024
"2001-10-04",-0.03
"2001-11-08",-0.019
"2001-12-13",-0.035
"2002-01-31",-0.027
"2002-03-21",-0.022
"2002-05-09",0.029
"2002-06-27",0.015
"2002-08-15",0.002
"2002-09-26",0.002
"2002-11-07",0.014
"2002-12-12",-0.015
"2003-01-30",-0.01
"2003-03-20",-0.016
"2003-05-08",-0.006
"2003-06-26",-0.013
"2003-08-14",0.002
"2003-09-18",0.029
"2003-10-30",0.041
"2003-12-11",0.029
"2004-01-29",0.04
"2004-03-18",0.031
"2004-05-06",0.022
"2004-07-01",0.069
"2004-08-12",0.073
"2004-09-23",0.018
"2004-11-11",0.026
"2004-12-16",0.039
"2005-01-04",0.059
"2005-02-23",0.019
"2005-04-12",0.072
"2005-05-24",0.023
"2005-07-21",0.03
"2005-08-30",0.042
"2005-10-11",0.054
"2005-11-22",0.032
"2006-01-03",0.042
"2006-02-21",0.036
"2006-04-18",0.046
"2006-05-31",0.049
"2006-07-20",0.028
"2006-08-29",0.046
"2006-10-11",0.016
"2006-11-15",0.016
"2007-01-03",0.009
"2007-02-21",0.007
"2007-04-11",0.005
"2007-05-30",0.026
"2007-07-19",0.037
"2007-08-28",0.023
"2007-10-09",-0.009
"2007-11-20",0
"2008-01-02",0.005
"2008-02-20",-0.026
"2008-04-08",-0.019
"2008-05-21",-0.004
"2008-07-16",0.018
"2008-08-26",0.002
"2008-10-07",-0.033
"2008-11-19",-0.027
"2009-01-06",-0.064
"2009-02-18",-0.035
"2009-04-08",-0.039
"2009-05-20",-0.028
"2009-07-15",0.005
"2009-09-02",0.003
"2009-10-14",0.018
"2009-11-24",0.01
"2010-01-06",0.027
"2010-02-17",0.008
"2010-04-06",-0.009
"2010-05-19",0.004
"2010-07-14",-0.014
"2010-08-31",-0.015
"2010-10-12",0.004
"2010-11-23",0.01
"2011-01-04",0.008
"2011-02-16",0.033
"2011-04-05",0.029
"2011-05-18",0.049
"2011-07-12",-0.006
"2011-08-30",-0.025
"2011-10-12",-0.026
"2011-11-22",-0.01
"2012-01-03",-0.026
"2012-02-15",-0.018
"2012-04-03",0.019
"2012-05-16",0.025
"2012-07-11",-0.032
"2012-08-22",-0.023
"2012-10-04",0.013
"2012-11-14",0.01
"2013-01-03",-0.023
"2013-02-20",0.021
"2013-04-10",0.01
"2013-05-22",0.023
"2013-07-10",0.017
"2013-08-21",0.038
"2013-10-09",0.01
"2013-11-20",0.005
"2014-01-08",0.016
"2014-02-19",0.032
"2014-04-09",-0.003
"2014-05-21",0.01
"2014-07-09",0.028
"2014-08-20",0.02
"2014-10-08",0.009
"2014-11-19",-0.015
"2015-01-07",-0.011
"2015-02-18",0.003
"2015-04-08",-0.006
"2015-05-20",-0.025
"2015-07-08",0.004
"2015-08-19",-0.006
"2015-10-08",-0.002
"2015-11-18",-0.007
"2016-01-06",0.006
"2016-02-17",-0.018
"2016-04-06",0.007
"2016-05-18",0.015
"2016-07-06",-0.002
"2016-08-17",0.006
"2016-10-12",0.016
"2016-11-23",0.014
"2017-01-04",0.049
"2017-02-22",0.043
"2017-04-05",0.046
"2017-05-24",0.011
"2017-07-05",0.017
"2017-08-16",0.021
"2017-10-11",0.015
"2017-11-22",0.036
"2018-01-03",0.027
"2018-02-21",0.037
"2018-04-11",0.026
"2018-05-23",0.037
"2018-07-05",0.044
"2018-08-22",0.019
"2018-10-17",0.046
"2018-11-29",0.047
"2019-01-09",0.009
"2019-02-20",0.006
"2019-04-10",-0.021
"2019-05-22",0.004
"2019-07-10",-0.025
"2019-08-21",0.001
"2019-10-09",-0.001
"2019-11-20",-0.02
"2020-01-03",-0.001
"2020-02-19",0
"2020-04-08",-0.013
"2020-05-20",-0.014
"2020-07-01",-0.006
"2020-08-19",-0.003
"2020-10-07",0.014
"2020-11-25",-0.005
"2021-01-06",0.019
"2021-02-17",0
"2021-04-07",0.034
"2021-05-19",0.031
"2021-07-07",0.033
"2021-08-18",0.024
"2021-10-13",0.033
"2021-11-24",0.034
"2022-01-05",0.04
"2022-02-16",0.026
"2022-04-06",0.061
"2022-05-25",0.051
"2022-07-06",0.041
"2022-08-17",0.027
"2022-10-12",0.043
"2022-11-23",0.043
"2023-01-04",0.012
"2023-02-22",0.014
"2023-04-12",0.017
"2023-05-24",0.003
"2023-07-05",0.032
"2023-08-16",0.023
"2023-10-11",0.035
"2023-11-21",0.038
"2024-01-03",-0.002
"2024-02-21",0.016
"2024-04-10",0.024
"2024-05-22",0.029
"2024-07-03",0.009
"2024-08-21",0.004
"2024-10-09",0.003
"2024-11-26",0.036
