"Date","Standardized_score","None","Finance","Policy","Prices","Global","Growth","Other"
"2015-02-19",-2.05198885346579,-0.224741636331967,-0.484501598212102,-0.163181970727993,-0.614820445042805,-0.0842897462143599,-0.360661046432075,-0.119792410504482
"2015-04-02",-0.276056781160769,-0.0291488526691495,-0.0612235818769594,-0.0283376968143293,-0.05039937746196,-0.0143699886801079,-0.0783743623086868,-0.0142029213495758
"2015-05-21",-0.316418873713155,-0.0374460205577699,-0.0988706332270941,-0.0462770404059773,-0.0435047209892441,-0.0112026011501995,-0.0746867449502011,-0.00443111243266943
"2015-07-02",0.450460884782193,0.0656300626834983,0.141775851319693,0.0448720693726191,0.0673951136117287,0.0178991080045904,0.100657622653593,0.0122310571364701
"2015-08-13",-0.195332596055995,-0.0191086235272169,-0.054831133621153,-0.0193209415664082,-0.0417748380087404,-0.00849272156765196,-0.0438424112951509,-0.00796192646967371
"2015-10-08",-1.24474700241805,-0.121283041261246,-0.296856063614747,-0.0783020336563833,-0.323528292552859,-0.0937942450255099,-0.296194243419211,-0.0347890828880942
"2015-11-19",-0.639315614132249,-0.0378542139946726,-0.119170673686932,-0.0834194715808527,-0.149313844090098,-0.0700302958901444,-0.170414063372313,-0.00911305151723601
"2016-01-14",-0.962212354551343,-0.050401599524118,-0.206428369306355,-0.161263299602925,-0.241174926554042,-0.0677912423036513,-0.20155185091084,-0.033601066349412
"2016-02-18",-1.48691955773237,-0.0612260994360388,-0.301757204363334,-0.176139574500006,-0.464110493888286,-0.199790064384199,-0.335146947933328,0.0512508267728202
"2016-04-07",-1.16402281731328,-0.10078119630418,-0.271101418058244,-0.214537971632523,-0.25787388604332,-0.0880155781056504,-0.183841698924875,-0.0478710682444854
"2016-05-19",-0.841126076894183,-0.0841126076894183,-0.167923101515239,-0.105945255452514,-0.163630174773581,-0.0756217531830414,-0.233223344230898,-0.010669840049491
"2016-07-07",0.289012514572646,0.015311921301862,0.0564627098006162,0.0358736441929339,0.0728911253640724,0.0261077372435618,0.0737296353401267,0.00863574132947278
"2016-08-18",0.00647786670593862,0.000383557897062155,0.00235761268764303,0.000151698162991514,0.000902781642899999,0.000713843863976789,0.00167537683555377,0.000292995615811369
"2016-10-06",-0.760401891789409,-0.0654650635315386,-0.193457655692559,-0.067563302747293,-0.175244939299811,-0.0388593902757722,-0.203948851771332,-0.0158626884711036
"2016-11-17",-0.0742463183988349,-0.00669434018350151,-0.0173270389424916,-0.0091866053600432,-0.0170807104076008,-0.00508161277565796,-0.0193788107389933,0.000502800009453468
"2017-01-12",0.49082297733458,0.0343888710234419,0.1053289435968,0.049186506433529,0.13518845790644,0.0274962098616005,0.104271969638936,0.0349620188738326
"2017-02-16",1.05589227306799,0.112843449030167,0.259512745430474,0.114556251381518,0.281105889546196,0.047953668072131,0.19728412517519,0.0426361444323166
"2017-04-06",0.934805995410834,0.0980969254443467,0.119461171812128,0.114254066105769,0.316919016698144,0.0316960233893709,0.217970269212123,0.0364085227489522
"2017-05-18",0.127564144363099,0.00414842745896256,0.0214777648263615,0.0108173388740524,0.0456829860177877,0.00725974805318449,0.0347208562502813,0.0034570228824688
"2017-07-06",0.410098792229806,0.037710233768258,0.0870477896150623,0.0324072321445967,0.115330464941256,0.0241581185077903,0.101365893998948,0.0120790592538951
"2017-08-17",0.49082297733458,0.0403416145754449,0.114459993021118,0.0320491715793812,0.128144658441584,0.0222252413633238,0.122017375513508,0.0315849228402194
"2017-10-05",0.531185069886966,0.0343932779063503,0.14559820980355,0.0509211586780131,0.119516640724567,0.033246835309472,0.132095663662538,0.0154132838024755
"2017-11-23",1.05589227306799,0.178964792045423,0.175721647004388,0.148448454290693,0.27956620431466,0.0417726550321895,0.187671571213982,0.0437469491666589
"2018-01-11",0.85408181030606,0.0742679835048748,0.128642757142372,0.113486025814847,0.247559945016249,0.0675484992830052,0.165991469255283,0.0565851302894284
"2018-02-22",2.06494458687766,0.197384409039777,0.46758706092864,0.204838489624072,0.537945767956584,0.173597057181137,0.421592853154189,0.0619989489932631
"2018-04-12",1.70168575390618,0.0937937029712069,0.389467185670916,0.144040329562925,0.318451953421288,0.121708495522161,0.509165816129409,0.125058270628276
"2018-05-24",-0.316418873713155,-0.0287653521557414,-0.0480730051936102,-0.0348670935221108,-0.0776664508205018,-0.0411431703560907,-0.0750514188063435,-0.010852382858757
"2018-07-12",0.85408181030606,0.0557009876286561,0.180254584964957,0.0847892811680654,0.27092140541202,0.0739732692846174,0.168880625478157,0.0195616563695876
"2018-08-23",0.571547162439353,0.0321093911482783,0.122352070461201,0.0604726866625907,0.145501412460484,0.0773836326673506,0.111786551754792,0.0219414172846568
"2018-10-11",0.934805995410834,0.0434793486237597,0.272196093871623,0.0979639498831798,0.204775915840913,0.146863577573588,0.200083429622801,-0.0305563200050311
"2018-11-22",1.41915110603947,0.0820996507626142,0.349314466459028,0.188019370266899,0.327560851512063,0.132923244091852,0.319099560974283,0.0201339619727363
"2019-01-10",-0.598953521579863,-0.0376963754840473,-0.136544648975549,-0.0802793181604711,-0.156998423080782,-0.0363002134290826,-0.12425842289186,-0.0268761195580708
"2019-02-21",-0.800763984341796,-0.0474136569676063,-0.184229652569238,-0.056632979155752,-0.206412470650511,-0.0736667744367069,-0.198892765001812,-0.0335156855601704
"2019-04-04",-0.88148816944657,-0.064378349453963,5097746120643.22,-68819572628686.4,-0.178093781978475,63721826508042.8,-0.195764420509917,-0.0383794006360164
